type,value,time
T,3929.0000,4.0082
G,4000.0000,4.0100
T,3871.0000,4.0183
G,4000.0000,4.0200
T,3627.0000,4.0284
G,4000.0000,4.0300
T,3224.0000,4.0385
G,4000.0000,4.0400
T,2759.0000,4.0486
G,4000.0000,4.0500
T,2503.0000,4.0588
G,4000.0000,4.0600
T,2473.0000,4.0689
G,4000.0000,4.0700
T,2624.0000,4.0790
G,4000.0000,4.0800
T,2863.0000,4.0881
G,4000.0000,4.0900
T,2908.0000,4.0982
G,4000.0000,4.1000
T,2878.0000,4.1083
G,4000.0000,4.1100
T,2846.0000,4.1185
G,4000.0000,4.1200
T,2825.0000,4.1286
G,4000.0000,4.1300
T,2814.0000,4.1397
G,4000.0000,4.1400
T,2809.0000,4.1488
G,4000.0000,4.1500
T,2806.0000,4.1589
G,4000.0000,4.1600
T,2805.0000,4.1681
G,4000.0000,4.1700
T,2803.0000,4.1782
G,4000.0000,4.1800
T,2802.0000,4.1883
G,4000.0000,4.1900
T,2801.0000,4.1984
G,4000.0000,4.2000
T,2801.0000,4.2085
G,4000.0000,4.2100
T,2800.0000,4.2187
G,4000.0000,4.2200
T,2800.0000,4.2288
G,4000.0000,4.2300
T,2800.0000,4.2389
G,4000.0000,4.2400
T,2800.0000,4.2480
G,4000.0000,4.2500
T,2800.0000,4.2581
G,4000.0000,4.2600
T,2800.0000,4.2682
G,4000.0000,4.2700
T,2800.0000,4.2784
G,4000.0000,4.2800
T,2800.0000,4.2885
G,4000.0000,4.2900
T,2800.0000,4.2986
G,4000.0000,4.3000
T,2800.0000,4.3087
G,4000.0000,4.3100
T,2800.0000,4.3188
G,4000.0000,4.3200
T,2800.0000,4.3280
G,4000.0000,4.3300
T,2800.0000,4.3381
G,4000.0000,4.3400
T,2800.0000,4.3482
G,4000.0000,4.3500
T,2800.0000,4.3583
G,4000.0000,4.3600
T,2800.0000,4.3684
G,4000.0000,4.3700
T,2800.0000,4.3785
G,4000.0000,4.3800
T,2800.0000,4.3887
G,4000.0000,4.3900
T,2800.0000,4.3988
G,4000.0000,4.4000
T,2800.0000,4.4079
G,4000.0000,4.4100
T,2800.0000,4.4180
G,4000.0000,4.4200
T,2800.0000,4.4281
G,4000.0000,4.4300
T,2800.0000,4.4382
G,4000.0000,4.4400
T,2800.0000,4.4484
G,4000.0000,4.4500
T,2800.0000,4.4595
G,4000.0000,4.4600
T,2800.0000,4.4686
G,4000.0000,4.4700
T,2800.0000,4.4787
G,4000.0000,4.4800
T,2800.0000,4.4888
G,4000.0000,4.4900
T,2800.0000,4.4979
G,4000.0000,4.5000
T,2800.0000,4.5081
G,4000.0000,4.5100
T,2800.0000,4.5182
G,4000.0000,4.5200
T,2800.0000,4.5283
G,4000.0000,4.5300
T,2800.0000,4.5384
G,4000.0000,4.5400
T,2800.0000,4.5485
G,4000.0000,4.5500
T,2800.0000,4.5587
G,4000.0000,4.5600
T,2800.0000,4.5688
G,4000.0000,4.5700
T,2800.0000,4.5779
G,4000.0000,4.5800
T,2800.0000,4.5880
G,4000.0000,4.5900
T,2800.0000,4.5981
G,4000.0000,4.6000
T,2800.0000,4.6082
G,4000.0000,4.6100
T,2800.0000,4.6184
G,4000.0000,4.6200
T,2800.0000,4.6285
G,4000.0000,4.6300
T,2800.0000,4.6386
G,4000.0000,4.6400
T,2800.0000,4.6487
G,4000.0000,4.6500
T,2800.0000,4.6578
G,4000.0000,4.6600
T,2800.0000,4.6679
G,4000.0000,4.6700
T,2800.0000,4.6781
G,4000.0000,4.6800
T,2800.0000,4.6882
G,4000.0000,4.6900
T,2800.0000,4.6983
G,4000.0000,4.7000
T,2800.0000,4.7084
G,4000.0000,4.7100
T,2800.0000,4.7185
G,4000.0000,4.7200
T,2800.0000,4.7287
G,4000.0000,4.7300
T,2800.0000,4.7378
G,4000.0000,4.7400
T,2800.0000,4.7479
G,4000.0000,4.7500
T,2800.0000,4.7580
G,4000.0000,4.7600
T,2800.0000,4.7681
G,4000.0000,4.7700
T,2800.0000,4.7793
G,4000.0000,4.7800
T,2800.0000,4.7884
G,4000.0000,4.7900
T,2800.0000,4.7985
G,4000.0000,4.8000
T,2800.0000,4.8086
G,4000.0000,4.8100
T,2800.0000,4.8187
G,4000.0000,4.8200
T,2800.0000,4.8278
G,4000.0000,4.8300
T,2800.0000,4.8379
G,4000.0000,4.8400
T,2800.0000,4.8481
G,4000.0000,4.8500
T,2800.0000,4.8582
G,4000.0000,4.8600
T,2800.0000,4.8683
G,4000.0000,4.8700
T,2799.0000,4.8784
G,4000.0000,4.8800
T,2799.0000,4.8885
G,4000.0000,4.8900
T,2799.0000,4.8987
G,4000.0000,4.9000
T,2799.0000,4.9078
G,4000.0000,4.9100
T,2799.0000,4.9179
G,4000.0000,4.9200
T,2799.0000,4.9280
G,4000.0000,4.9300
T,2800.0000,4.9381
G,4000.0000,4.9400
T,2800.0000,4.9482
G,4000.0000,4.9500
T,2800.0000,4.9584
G,4000.0000,4.9600
T,2800.0000,4.9685
G,4000.0000,4.9700
T,2800.0000,4.9786
G,4000.0000,4.9800
T,2800.0000,4.9877
G,4000.0000,4.9900
T,2800.0000,4.9978
G,4000.0000,5.0000
T,2800.0000,5.0079
G,4000.0000,5.0100
T,2800.0000,5.0181
G,4000.0000,5.0200
T,2800.0000,5.0282
G,4000.0000,5.0300
T,2800.0000,5.0383
G,4000.0000,5.0400
T,2800.0000,5.0484
G,4000.0000,5.0500
T,2800.0000,5.0585
G,4000.0000,5.0600
T,2800.0000,5.0677
G,4000.0000,5.0700
T,2800.0000,5.0778
G,4000.0000,5.0800
T,2800.0000,5.0879
G,4000.0000,5.0900
T,2800.0000,5.0990
G,4000.0000,5.1000
T,2800.0000,5.1081
G,4000.0000,5.1100
T,2800.0000,5.1182
G,4000.0000,5.1200
T,2800.0000,5.1284
G,4000.0000,5.1300
T,2800.0000,5.1385
G,4000.0000,5.1400
T,2800.0000,5.1486
G,4000.0000,5.1500
T,2800.0000,5.1577
G,4000.0000,5.1600
T,2800.0000,5.1678
G,4000.0000,5.1700
T,2800.0000,5.1779
G,4000.0000,5.1800
T,2800.0000,5.1881
G,4000.0000,5.1900
T,2800.0000,5.1982
G,4000.0000,5.2000
T,2800.0000,5.2083
G,4000.0000,5.2100
T,2800.0000,5.2184
G,4000.0000,5.2200
T,2800.0000,5.2285
G,4000.0000,5.2300
T,2800.0000,5.2376
G,4000.0000,5.2400
T,2800.0000,5.2478
G,4000.0000,5.2500
T,2800.0000,5.2579
G,4000.0000,5.2600
T,2800.0000,5.2680
G,4000.0000,5.2700
T,2800.0000,5.2781
G,4000.0000,5.2800
T,2800.0000,5.2882
G,4000.0000,5.2900
T,2800.0000,5.2984
G,4000.0000,5.3000
T,2800.0000,5.3085
G,4000.0000,5.3100
T,2800.0000,5.3176
G,4000.0000,5.3200
T,2800.0000,5.3277
G,4000.0000,5.3300
T,2800.0000,5.3378
G,4000.0000,5.3400
T,2800.0000,5.3479
G,4000.0000,5.3500
T,2800.0000,5.3581
